变量名,问题,取值含义
political,您目前的政治面貌,1 = 群众; 2 = 共青团员; 3 = 民主党派; 4 = 共产党员;
floor_area,您现在住的这座住房的套内建筑面积,-
height_cm,您目前的身高是（厘米）,-
weight_jin,您目前的体重是（斤）,-
health,您觉得您目前的身体健康状况,1 = 很不健康; 2 = 比较不健康; 3 = 一般; 4 = 比较健康; 5 = 很健康;
health_problem,在过去的四周中由于健康问题影响到您的工作或其他日常活动的频繁程度,-
depression,在过去的四周中您感到心情抑郁或沮丧的频繁程度,1 = 总是; 2 = 经常; 3 = 有时; 4 = 很少; 5 = 从不;
hukou,您目前的户口登记状况,1 = 农业户口; 2 = 非农业户口; 3 = 蓝印户口; 4 = 居民户口（以前是农业户口）; 5 = 居民户口（以前是非农业户口）; 6 = 军籍; 7 = 没有户口; 8 = 其他;
socialize,在过去一年中，您是否经常在您的空闲时间做下面的事情-社交,1 = 从不; 2 = 很少; 3 = 有时; 4 = 经常; 5 = 非常频繁; 
relax,在过去一年中，您是否经常在您的空闲时间做下面的事情-休息放松,1 = 从不; 2 = 很少; 3 = 有时; 4 = 经常; 5 = 非常频繁; 
learn,在过去一年中，您是否经常在您的空闲时间做下面的事情-学习充电,1 = 从不; 2 = 很少; 3 = 有时; 4 = 经常; 5 = 非常频繁; 
equity,总的来说，您认为当今社会公不公平,1 = 完全不公平; 2 = 比较不公平; 3 = 说不上公平但也不能说不公平; 4 = 比较公平; 5 = 完全公平; 
happiness,总的来说，您觉得您的生活是否幸福,1 = 非常不幸福; 2 = 比较不幸福; 3 = 说不上幸福不幸福; 4 = 比较幸福; 5 = 非常幸福; 
class,您认为自己目前处于哪个等级上,1 = 1(最底层); 10 = 10(最顶层); 
work_exper,您的工作经历及状况,1 = 目前从事非农工作; 2 = 目前务农，曾经有过非农工作; 3 = 目前务农，没有过非农工作; 4 = 目前没有工作，而且只务过农; 5 = 目前没有工作，曾经有过非农工作; 6 = 从未工作过; 
work_status,下列各种情形，哪一种更符合您目前工作的状况,1 = 自己是老板（或者是合伙人）; 2 = 个体工商户; 3 = 受雇于他人（有固定雇主）; 4 = 劳务工/劳务派遣人员; 5 = 零工、散工（无固定雇主的受雇者）; 6 = 在自己家的生意/企业中工作/帮忙，领工资; 7 = 在自己家的生意/企业中工作/帮忙，不领工资; 8 = 自由职业者; 9 = 其他; 
work_yr,从您第一份非农工作到目前的工作，您一共工作了多少年,-
work_type,您目前工作的性质,1 = 全职工作; 2 = 非全职工作; 
work_manage,您目前工作的管理活动情况,1 = 只管理别人，不受别人管理; 2 = 既管理别人，又受别人管理; 3 = 只受别人管理，不管理别人; 4 = 既不管理别人，又不受别人管理; 
family_income,您家去年全年家庭总收入,9999996 = 全年全家总收入超过了百万位数; 
family_m,您家目前住在一起的通常有几人（包括您本人）,-
family_status,您家的家庭经济状况在所在地属于哪一档,1 = 远低于平均水平; 2 = 低于平均水平; 3 = 平均水平; 4 = 高于平均水平; 5 = 远高于平均水平; 
house,您家现拥有几处房产,96 = 房产数超过两位数; 
car,您家是否拥有家用小汽车,1 = 有; 2 = 没有; 
marital,您目前的婚姻状况,1 = 未婚; 2 = 同居; 3 = 初婚有配偶; 4 = 再婚有配偶; 5 = 分居未离婚; 6 = 离婚; 7 = 丧偶; 
status_peer,与同龄人相比，您本人的社会经济地位怎样,1 = 较高; 2 = 差不多; 3 = 较低; 
status_3_before,与三年前相比，您的社会经济地位发生了什么变化,1 = 上升了; 2 = 差不多; 3 = 下降了; 
view,根据您的一般印象您对一些重要事情所持的观点和看法与社会大众一致的时候有多少,1 = 一致的时候非常少; 2 = 一致的时候比较少; 3 = 一般; 4 = 一致的时候比较多; 5 = 一致的时候非常多; 
inc_ability,考虑到您的能力和工作状况，您目前的收入是否合理,1 = 非常合理; 2 = 合理; 3 = 不合理; 4 = 非常不合理; 
