id,happiness,survey_type,province,gender,nationality,religion,religion_freq,edu,income,political,floor_area,health,health_problem,depression,hukou,socialize,relax,learn,equity,class,work_exper,work_status,work_yr,work_type,work_manage,family_income,family_m,family_status,house,car,marital,status_peer,status_3_before,view,inc_ability,age,BMI
13,4,1,21,1,1,1,3,10,36000,4,80,4,5,4,2,2,3,3,3,4,1,4,35,2,4,36000,5,2,5,3,3,2,1,5,2,51,20.519134092541297
14,2,1,4,2,1,1,1,3,40000,1,56,1,1,1,5,1,2,1,3,1,5,-8,-8,-8,-8,90000,5,3,5,3,3,2,3,3,2,76,23.627547666009203
15,4,2,15,2,1,0,4,1,1000,1,40,1,-8,-8,1,3,1,1,5,2,4,-8,-8,-8,-8,30000,7,3,5,3,3,3,2,3,2,80,17.571366782006915
16,4,2,29,1,1,1,1,4,45000,1,120,4,5,3,1,3,4,1,4,6,1,4,8,2,4,50000,8,3,5,3,3,2,1,5,2,32,27.027027027027025
17,4,1,6,2,1,0,4,4,0,2,63,2,3,3,1,2,4,2,2,5,5,-8,-8,-8,-8,36000,6,3,5,3,3,2,2,3,2,41,22.86236854138088
18,4,2,31,2,1,0,8,6,0,1,90,2,2,3,1,3,4,2,2,1,3,-8,-8,-8,-8,20000,4,3,5,3,3,2,1,4,2,53,18.730489073881373
19,4,1,4,1,1,1,1,7,100000,1,77,5,5,5,4,3,3,3,4,6,1,3,17,2,3,200000,8,3,5,2,3,2,2,3,2,39,23.356401384083046
20,5,1,4,1,1,1,1,4,100000,4,91,5,5,5,2,4,4,4,4,6,1,3,8,2,2,100000,7,3,6,2,3,2,1,3,2,50,26.122448979591837
21,4,1,27,1,3,1,1,4,25000,1,71,2,2,3,2,3,4,1,2,3,5,-8,-8,-8,-8,80000,8,2,5,3,3,2,2,5,2,64,23.875114784205696
22,5,2,9,2,1,1,1,1,2000,1,100,1,2,2,1,2,3,1,4,1,4,-8,-8,-8,-8,20000,9,3,5,2,3,3,3,4,2,67,23.437499999999996
23,4,1,21,2,1,1,1,3,5000,1,220,4,4,3,1,4,3,1,4,5,4,-8,-8,-8,-8,40000,8,2,5,3,3,2,2,4,3,35,18.974531961544947
24,4,1,19,1,1,1,1,6,48000,1,80,3,3,3,4,2,4,1,4,7,5,-8,-8,-8,-8,48000,4,3,4,3,3,1,1,3,-8,73,20.281233098972418
25,4,1,12,1,1,1,1,6,-8,1,63,4,5,5,2,2,4,4,1,4,5,-8,-8,-8,-8,90000,6,3,5,3,3,2,2,4,-8,59,11.937557392102848
26,4,1,26,2,1,1,1,4,20000,1,80,4,4,4,2,3,3,3,4,3,1,3,26,2,5,60000,5,2,5,3,3,2,2,3,2,45,20.5456936226167
27,5,1,17,2,1,1,1,4,19200,1,117,4,5,3,1,3,4,2,4,6,5,-8,-8,-8,-8,100000,4,3,6,3,3,2,2,4,2,49,24.3046178773967
28,4,1,31,2,1,1,1,4,10000,1,79,3,3,3,2,3,3,1,4,5,5,-8,-8,-8,-8,20000,5,2,5,3,3,3,1,4,2,52,28.040378144528116
29,3,1,4,1,1,1,1,10,40000,2,140,4,4,3,1,4,4,4,2,4,1,6,4,3,3,40000,4,2,4,3,1,2,1,2,2,23,20.155872077398545
30,5,2,18,1,1,1,1,1,3000,1,80,2,2,3,1,4,4,1,4,4,3,-8,-8,-8,-8,40000,5,2,5,3,3,3,1,4,2,68,19.48696145124717
31,4,1,4,1,1,1,2,11,80000,1,57,4,4,3,2,2,3,3,4,6,1,4,17,2,4,170000,5,3,5,2,3,2,1,3,3,36,24.96494647925858
32,4,1,27,2,1,1,1,4,20000,1,90,4,4,4,2,2,2,2,4,5,1,7,-8,2,3,40000,5,4,5,3,3,2,1,4,2,50,16.3265306122449
33,4,1,4,1,1,1,1,12,100000,1,70,2,2,2,2,1,5,1,4,10,5,-8,-8,-8,-8,150000,6,4,5,3,3,1,2,3,2,89,20.761245674740486
34,4,1,16,2,1,1,1,4,150000,1,240,5,4,4,1,3,3,3,3,5,1,2,8,2,5,150000,5,2,4,3,3,2,1,3,2,28,17.361111111111114
35,4,2,9,2,1,0,3,1,660,4,40,2,3,3,1,2,3,1,4,4,4,-8,-8,-8,-8,10000,5,2,5,3,3,3,2,3,2,78,17.77777777777778
36,4,1,15,1,1,1,1,4,20000,1,25,4,3,3,1,3,4,1,4,2,1,5,35,2,4,30000,4,3,5,3,3,2,2,3,-8,58,25.351541373715524
37,4,1,5,2,1,-8,1,-8,60000,1,70,5,4,4,2,3,3,3,2,6,1,4,30,2,4,80000,5,4,5,3,3,2,2,4,2,46,19.283746556473833
38,3,1,26,1,1,1,1,6,15600,1,24.2,4,4,4,2,3,3,2,2,4,1,5,30,2,4,15600,4,2,5,3,6,3,2,4,2,55,22.55337632396672
39,5,1,27,2,1,1,1,10,-8,1,180,4,5,5,5,4,4,3,4,8,5,-8,-8,-8,-8,-8,7,3,5,2,3,2,1,4,2,44,23.437499999999996
40,4,1,28,2,1,1,1,3,15000,1,180,5,4,4,5,2,4,4,4,4,1,4,15,2,4,35000,5,3,5,3,3,2,1,4,2,55,20.507812499999996
41,4,2,2,2,8,0,3,4,12000,1,300,4,3,3,1,3,3,3,4,6,1,9,26,2,5,35000,7,3,5,3,3,2,2,3,2,42,21.007667798746546
42,4,2,24,1,1,1,3,4,10000,1,15,3,3,3,1,3,3,2,4,4,3,-8,-8,-8,-8,10000,5,2,5,3,7,2,3,3,2,56,23.828124999999996
43,4,2,10,2,1,1,1,4,20000,1,90,3,3,4,1,4,5,1,4,4,2,-8,-8,-8,-8,30000,7,2,5,3,3,2,2,4,2,46,21.90976985215668
44,5,1,4,2,1,1,1,4,10000,1,56,3,5,5,2,1,5,1,1,5,1,4,4,2,4,20000,7,2,5,3,3,2,1,3,2,31,22.744353467030574
45,5,1,29,2,1,1,1,6,0,2,126,5,5,5,1,4,4,3,1,4,6,-8,-8,-8,-8,60000,7,3,5,2,1,2,2,2,-8,18,21.874999999999996
46,4,1,11,2,1,1,1,12,3000,2,200,4,3,3,2,3,3,4,3,3,6,-8,-8,-8,-8,70000,7,3,5,3,1,2,2,3,-8,22,21.513858510523864
47,4,2,17,1,1,1,1,4,55000,2,200,5,5,4,1,3,3,4,4,3,1,3,5,3,5,80000,6,2,5,3,1,3,1,2,2,22,21.626297577854675
48,4,2,5,2,1,1,1,1,5000,1,65,4,4,4,1,4,4,2,4,5,2,-8,-8,-8,-8,10000,6,3,5,3,3,2,2,3,2,60,24.414062499999996
49,5,1,17,1,1,1,1,3,20000,1,97,5,5,5,1,2,3,3,4,4,1,4,16,2,4,110000,8,3,5,3,3,1,1,4,2,64,20.408163265306122
50,3,1,15,1,1,1,1,4,15000,1,50,5,4,4,2,2,3,2,1,5,1,4,30,2,4,30000,5,3,5,3,3,2,2,3,3,54,22.49134948096886
51,4,1,12,2,1,1,1,1,48000,1,100,4,4,5,5,4,5,1,4,5,5,-8,-8,-8,-8,-8,5,3,13,3,7,3,1,4,2,82,20.811654526534856
52,5,1,10,1,1,1,3,4,30000,1,160,4,5,4,1,1,4,1,5,1,1,3,16,2,3,60000,6,3,5,3,3,2,2,4,2,31,24.56931437160365
53,5,1,4,1,1,1,1,6,0,2,60,4,4,4,2,4,5,5,-8,10,6,-8,-8,-8,-8,-8,6,5,2,2,1,1,2,-8,-8,18,20.761245674740486
54,4,1,5,1,1,1,1,10,80000,1,90,4,5,5,2,2,3,3,4,5,1,4,5,2,3,100000,8,4,5,2,3,2,1,3,2,30,23.148148148148145
55,4,1,31,2,1,1,1,4,12000,1,34,3,4,5,2,1,5,1,3,5,5,-8,-8,-8,-8,30000,5,3,5,3,3,3,1,-8,-8,71,27.343749999999996
56,4,1,5,1,1,0,1,4,30000,1,40,3,5,5,2,2,4,2,3,5,5,-8,-8,-8,-8,600000,5,3,5,3,3,2,2,5,1,65,27.68166089965398
57,4,1,7,2,1,1,1,10,24000,4,57,4,4,4,2,1,4,2,3,6,5,-8,-8,-8,-8,63600,5,3,5,3,3,1,1,4,3,61,25.390624999999996
58,4,1,15,2,1,1,1,4,3600,1,100,4,5,5,1,5,5,1,2,6,2,-8,-8,-8,-8,75000,4,3,5,3,3,2,2,3,2,50,25.03605191475725
59,4,2,23,2,1,0,3,3,2500,1,333,2,3,3,1,1,4,2,3,3,3,-8,-8,-8,-8,5000,6,2,5,3,3,3,1,3,2,33,26.370238143535232
60,4,2,18,1,1,0,4,4,35000,4,120,5,5,5,1,4,3,3,2,5,2,-8,-8,-8,-8,50000,8,2,5,3,3,2,2,4,2,46,28.571428571428573
61,4,2,2,1,4,0,2,6,5000,4,300,5,5,5,6,2,2,2,4,5,1,4,3,2,4,1000000,6,4,16,2,1,2,2,4,2,19,18.51851851851852
62,4,2,21,2,1,0,9,3,0,1,234,2,3,4,1,2,3,1,3,5,4,-8,-8,-8,-8,100000,7,3,5,3,7,2,1,4,2,61,26.709401709401707
63,3,1,13,1,1,1,1,8,5000,1,100,4,5,5,5,2,3,2,2,5,1,4,1,2,4,10000,6,2,5,2,3,2,2,5,2,55,24.857954545454547
64,4,1,4,2,4,0,4,6,38000,1,115,2,5,2,2,3,4,4,4,4,5,-8,-8,-8,-8,90000,5,3,6,3,3,2,2,3,2,70,23.243408017070564
65,3,2,6,1,1,1,1,1,20000,1,180,3,3,3,1,2,3,1,3,4,3,-8,-8,-8,-8,20000,5,3,5,3,3,3,2,3,2,71,20.904195011337873
66,4,1,1,2,4,0,2,4,39600,1,79,1,1,3,2,1,3,1,4,4,5,-8,-8,-8,-8,150000,7,2,5,3,7,3,2,3,3,93,18.88888888888889
67,1,2,31,2,1,1,1,3,10660,1,80,1,5,1,1,4,4,1,5,10,3,-8,-8,-8,-8,21320,5,3,5,3,3,2,2,5,2,72,18.36547291092746
68,4,1,12,1,1,1,1,6,0,1,110,3,4,4,5,3,3,3,4,4,1,3,13,2,3,0,7,3,5,3,3,3,2,3,2,32,18.93700290367378
69,4,2,9,2,1,1,1,4,20000,1,200,3,2,3,1,4,4,1,4,5,2,-8,-8,-8,-8,20000,4,1,5,3,7,2,3,5,2,53,21.484374999999996
70,4,2,29,2,1,0,1,12,0,2,120,4,5,4,1,3,2,2,4,4,6,-8,-8,-8,-8,20000,7,3,5,3,1,2,2,4,2,19,28.040378144528116
71,4,2,18,2,1,1,1,1,0,1,200,5,5,5,1,2,3,2,2,5,4,-8,-8,-8,-8,50000,6,3,6,3,3,2,2,4,2,47,24.83576349943919
72,5,1,4,1,1,1,1,7,50000,1,64,3,4,5,2,2,3,1,1,4,5,-8,-8,-8,-8,80000,5,-8,5,3,3,2,1,-8,3,61,22.758306781975424
73,5,1,1,2,1,1,1,10,44400,1,60,4,4,4,5,2,3,2,4,3,5,-8,-8,-8,-8,91200,4,3,5,3,3,2,2,4,2,68,19.140624999999996
74,4,2,2,2,8,1,1,4,10000,-8,266,4,4,4,1,2,3,2,4,6,3,-8,-8,-8,-8,85000,7,3,6,2,3,2,1,3,2,47,18.36547291092746
75,4,1,24,1,1,1,1,12,100000,1,100,5,5,5,4,3,4,4,4,6,1,4,21,2,3,250000,8,4,1,2,3,2,2,4,2,44,25.95155709342561
76,3,1,6,1,1,1,1,4,-8,1,105,3,4,4,2,2,3,2,1,4,5,-8,-8,-8,-8,-8,6,2,5,3,3,3,2,4,3,47,20.882755855524742
77,5,2,19,1,1,1,1,3,200000,1,96,2,2,2,1,4,4,5,3,4,1,4,26,2,2,200000,6,3,5,3,3,2,2,5,2,47,25.390624999999996
78,4,2,16,1,1,1,1,4,40000,2,60,4,4,4,4,2,3,3,4,4,5,-8,-8,-8,-8,40000,5,3,4,3,3,1,1,4,2,66,24.801587301587304
79,3,2,13,1,6,1,1,4,10000,1,128,4,3,3,1,3,4,1,2,3,2,-8,-8,-8,-8,20000,8,2,5,3,3,3,2,4,4,38,25.390624999999996
80,1,2,22,1,1,1,1,3,20000,1,85,3,3,2,1,3,3,1,4,4,3,-8,-8,-8,-8,20000,4,1,5,3,7,3,1,3,2,46,21.04981790236894
81,4,1,4,1,1,1,1,8,120000,1,57,4,4,5,1,2,4,2,2,6,1,4,10,2,3,120000,6,3,5,3,3,2,1,3,2,28,23.356401384083046
82,4,2,6,2,1,1,1,3,2000,1,120,4,4,4,1,3,2,1,2,5,3,-8,-8,-8,-8,3000,4,3,5,3,7,2,2,4,2,68,24.97398543184183
83,3,1,31,1,1,1,1,4,1400,1,40,2,2,3,2,2,2,1,4,1,5,-8,-8,-8,-8,5000,6,1,4,3,3,3,1,4,3,41,19.052112062708666
84,4,1,16,2,1,1,1,10,30000,1,900,4,4,4,1,4,4,4,4,4,5,-8,-8,-8,-8,10000,7,3,6,3,1,2,1,3,-8,23,18.099375095259866
85,5,2,31,1,1,1,1,4,20000,4,40,4,4,3,1,2,4,4,3,7,2,-8,-8,-8,-8,40000,5,3,5,3,3,2,1,4,2,60,20.449137418203453
86,1,2,9,2,1,1,1,6,0,1,200,1,2,2,1,1,3,1,2,3,3,-8,-8,-8,-8,10000,5,1,5,3,3,3,3,-8,2,61,20
87,4,2,15,1,1,1,1,3,25000,1,200,3,5,4,4,4,4,1,3,5,5,-8,-8,-8,-8,60000,7,1,6,3,3,2,2,2,3,63,22.144274376417236
88,2,1,19,1,1,1,1,4,20000,1,38,4,5,5,5,2,4,2,3,2,5,-8,-8,-8,-8,50000,6,2,5,3,3,3,3,5,4,55,19.8961937716263
89,4,1,9,1,1,1,1,4,30000,1,208,4,5,5,1,2,3,2,4,5,1,2,42,2,2,60000,5,3,5,3,3,2,2,4,2,61,23.875114784205696
90,5,2,2,2,4,0,4,3,5000,1,150,2,3,5,1,2,2,1,4,4,4,-8,-8,-8,-8,12000,6,3,6,3,3,3,1,4,-8,45,28.88888888888889
91,4,2,29,2,1,1,1,4,0,1,20,3,5,3,1,3,1,2,4,5,2,-8,-8,-8,-8,15000,6,2,5,3,3,3,3,2,2,38,22.892819979188342
92,2,2,31,2,1,1,1,4,10000,1,50,1,2,3,1,3,1,1,2,3,3,-8,-8,-8,-8,10000,7,3,5,2,3,2,1,4,2,36,18.218322427126715
93,3,2,6,1,1,1,1,3,5000,1,100,2,3,3,1,2,3,1,4,4,2,-8,-8,-8,-8,5000,5,2,5,3,1,2,2,3,2,50,23.030045351473927
94,1,1,21,1,1,1,1,3,900,1,60,2,4,4,1,2,4,3,4,5,5,-8,-8,-8,-8,800,4,1,5,3,7,3,2,2,4,74,17.99816345270891
95,4,1,7,1,1,1,1,6,50000,4,67,5,5,5,2,1,3,2,4,5,1,4,30,2,4,80000,6,3,6,2,3,2,2,4,2,45,23.888440980620498
96,3,2,9,1,1,1,1,3,8000,1,80,3,2,3,1,2,2,1,3,2,2,-8,-8,-8,-8,8000,5,1,5,3,1,3,2,4,2,52,20.761245674740486
97,3,1,8,2,4,0,9,3,0,1,200,1,2,1,1,3,2,1,2,5,1,3,10,2,5,80000,8,3,5,3,3,2,2,3,3,35,25.320290858725762
98,4,1,23,2,1,1,1,4,60000,1,60,5,5,4,1,5,4,2,4,4,1,3,8,2,5,65000,6,2,5,3,3,2,1,2,3,28,22.582709172343712
99,4,2,22,1,1,1,1,4,30000,1,90,4,5,5,1,2,3,1,2,5,1,4,3,2,4,30000,9,3,5,3,1,2,1,3,2,20,17.746078961600865
100,3,1,4,1,1,1,1,6,60000,1,58,4,5,5,2,5,4,1,2,1,1,4,36,2,3,80000,7,1,5,2,3,3,2,3,2,53,21.224489795918366
101,4,2,24,1,1,1,4,3,1000,1,120,3,4,4,1,4,4,1,4,3,3,-8,-8,-8,-8,-8,4,3,6,3,3,2,2,4,-8,64,20.449137418203453
102,5,2,17,2,1,1,1,4,10000,1,306,5,5,5,1,4,4,4,4,7,2,-8,-8,-8,-8,30000,9,3,5,3,3,2,2,4,2,33,22.600262984878366
103,5,1,12,2,1,1,3,3,36000,1,55,4,5,5,5,4,5,1,3,5,5,-8,-8,-8,-8,150000,6,3,6,2,7,2,1,4,2,66,26.171874999999996
104,4,1,18,2,1,1,1,3,0,1,200,2,2,3,2,4,2,2,4,5,6,-8,-8,-8,-8,20000,5,3,5,3,3,2,2,4,3,63,23.73323840037973
105,4,1,22,2,1,1,3,4,3600,1,75,3,5,5,5,5,5,1,3,5,5,-8,-8,-8,-8,6000,6,2,5,3,3,2,1,4,3,40,24.77365884419621
106,4,1,12,2,1,1,1,4,15000,1,64,3,4,4,4,4,4,2,4,5,3,-8,-8,-8,-8,30000,6,3,6,3,3,2,1,3,2,37,22.189349112426033
107,3,1,26,1,1,1,1,12,0,1,60,4,4,3,2,3,3,2,3,4,1,1,-8,1,1,50000,4,3,5,3,1,2,1,3,-8,20,18.42403628117914
108,3,1,13,1,6,1,1,12,30000,1,70,4,3,3,2,5,3,3,4,2,1,4,5,2,4,90000,6,2,5,3,3,3,2,4,3,27,22.49134948096886
109,4,1,31,2,1,0,6,13,18000,1,63,4,5,3,2,2,3,1,4,1,1,6,5,1,4,50000,5,2,6,3,3,2,2,4,2,52,27.548209366391188
110,4,2,21,2,1,1,1,3,10000,1,100,3,3,4,1,4,3,1,4,4,3,-8,-8,-8,-8,20000,6,2,5,3,3,3,2,4,2,49,18.36547291092746
111,4,1,6,1,1,0,-8,6,40000,1,108,3,4,5,2,3,2,2,4,5,1,2,20,2,2,60000,4,3,5,3,3,2,1,3,2,53,28.685144680698485
112,4,2,16,2,1,1,3,1,0,1,230,5,4,5,1,4,4,2,4,3,4,-8,-8,-8,-8,1000,4,1,5,3,3,3,2,4,-8,79,22.22222222222222
113,3,1,26,1,1,1,1,4,15000,1,50,5,5,3,2,2,5,1,3,1,1,4,20,2,4,15000,5,2,5,3,1,3,2,3,-8,40,19.531249999999996
114,4,2,22,1,1,1,1,9,80000,1,450,4,5,5,2,3,3,4,4,4,1,4,13,2,4,10000,8,3,5,3,3,2,1,3,2,37,25.209201358495854
115,4,1,21,2,1,1,1,4,8000,1,59,5,5,5,2,4,4,1,3,2,5,-8,-8,-8,-8,15000,5,2,5,3,3,3,1,3,3,50,21.63114885435026
116,3,2,24,2,1,1,3,1,6000,1,120,3,4,4,1,4,4,1,2,4,3,-8,-8,-8,-8,-8,5,3,5,3,3,2,2,3,2,52,18.88888888888889
117,4,1,28,2,1,1,1,4,10000,1,15,2,2,2,4,2,2,1,4,5,1,9,-8,2,5,25000,5,2,4,3,3,3,2,3,4,50,23.9188302920412
118,4,1,15,1,1,1,1,4,-8,1,85,5,5,3,1,2,3,2,2,2,1,3,10,2,5,100000,6,2,5,3,3,2,1,2,4,35,25.689561925365066
119,3,1,1,2,1,1,1,6,33600,1,28,4,5,5,2,2,5,2,3,3,5,-8,-8,-8,-8,33600,4,2,5,3,7,3,2,3,3,67,21.11111111111111
120,3,2,29,1,1,1,2,3,3000,1,200,3,4,3,1,2,1,1,2,4,3,-8,-8,-8,-8,3000,6,2,5,3,3,2,2,4,2,42,23.38868655818771
121,4,2,9,1,1,1,1,4,25000,1,70,5,4,4,1,4,3,1,4,4,2,-8,-8,-8,-8,30000,4,3,5,3,7,2,2,4,2,61,24.76756591982929
122,4,1,15,1,1,1,1,12,50000,4,140,4,4,4,5,3,3,3,4,5,1,4,25,2,4,100000,5,3,6,2,3,2,3,4,3,44,30.071168431955627
123,4,1,1,2,1,1,1,6,30000,1,35.7,4,4,5,2,3,3,2,4,3,1,4,4,2,4,74400,5,2,5,3,1,3,-8,3,2,28,33.20312499999999
124,5,1,26,1,1,1,1,6,50000,2,200,4,4,5,1,4,4,4,3,2,1,3,10,2,5,60000,4,3,5,3,1,2,2,3,2,27,21.71806608974573
125,4,1,16,1,1,1,1,12,0,2,120,4,4,4,1,3,4,4,4,6,6,-8,-8,-8,-8,40000,6,3,5,3,1,2,2,3,-8,23,21.258503401360546
126,4,2,10,2,1,1,1,4,2000,1,66,4,4,4,1,2,3,1,3,6,3,-8,-8,-8,-8,50000,5,3,5,3,3,2,2,4,3,50,25.781249999999996
127,5,2,11,2,1,1,1,5,-8,1,200,4,4,5,1,3,3,3,4,4,5,-8,-8,-8,-8,-8,13,2,5,3,3,2,2,4,2,31,21.484374999999996
128,2,2,21,2,-8,1,1,3,24000,1,120,4,5,5,1,3,3,2,2,3,1,4,17,2,4,30000,6,3,5,3,6,3,2,3,2,37,20.761245674740486
129,5,1,1,1,1,1,3,9,93600,4,70,3,3,4,2,3,3,4,4,7,1,4,40,2,3,150000,5,4,8,3,3,2,2,4,2,59,27.27918388429752
130,3,2,31,2,1,1,1,3,7000,1,70,4,4,4,1,4,4,1,1,3,3,-8,-8,-8,-8,30000,8,3,5,3,3,3,1,3,3,54,25.390624999999996
131,4,1,11,1,1,1,1,12,30000,1,150,4,3,4,1,2,3,2,3,3,1,4,7,2,4,50000,8,3,5,3,3,2,1,3,2,32,22.88221184193915
132,4,1,11,1,1,1,1,4,60000,1,120,2,3,3,1,2,3,2,2,4,1,4,4,2,3,110000,5,3,6,3,3,2,2,3,3,44,25.091528847367755
133,5,1,15,2,1,0,2,12,40000,4,70,4,5,5,2,1,5,3,2,5,1,4,2,2,4,100000,6,2,5,3,1,3,1,4,2,24,20.134779750164363
134,3,1,16,1,1,1,1,6,120000,2,100,4,4,4,1,3,3,4,1,6,1,2,9,2,2,150000,9,2,5,2,3,2,2,3,2,41,22.03856749311295
135,4,1,12,2,1,1,1,6,30000,1,300,4,3,4,4,4,3,2,2,4,1,3,8,2,5,80000,6,2,5,3,3,2,2,4,3,38,24.034609838166958
136,3,2,21,2,1,1,1,4,10000,1,260,4,4,3,2,2,4,1,4,5,3,-8,-8,-8,-8,50000,7,4,5,3,3,2,1,5,2,49,24.46460160337235
137,4,2,18,1,1,1,1,12,0,2,250,2,2,3,1,1,4,3,4,5,1,6,1,3,4,10000,6,2,5,3,1,3,2,3,3,23,18.826793499801823
138,5,1,21,2,1,0,9,3,24000,1,174,5,5,5,2,4,4,2,4,7,5,-8,-8,-8,-8,24000,5,4,5,3,7,1,1,4,2,68,24.654832347140037
139,4,2,18,2,1,0,4,1,0,1,200,4,3,2,1,3,2,1,4,6,4,-8,-8,-8,-8,-8,6,3,5,3,3,3,1,5,2,79,16.649323621227886
140,3,1,27,1,1,1,1,6,40000,4,94,5,4,3,5,3,4,1,4,2,1,4,38,2,3,50000,5,2,4,3,3,3,3,4,2,58,22.093170054286073
141,4,1,22,2,1,1,1,12,0,2,100,4,5,3,2,3,4,3,3,5,6,-8,-8,-8,-8,50000,6,3,5,2,1,-8,-8,3,-8,19,18.749999999999996
142,4,2,11,2,1,1,1,6,0,2,160,5,5,3,1,2,3,5,4,2,6,-8,-8,-8,-8,10000,8,3,5,3,1,2,2,5,-8,18,16.955017301038065
143,4,2,26,2,1,1,1,11,-8,1,150,5,5,4,1,4,2,4,3,5,6,-8,-8,-8,-8,30000,5,2,5,3,1,3,1,2,-8,22,17.77777777777778
144,5,2,10,2,4,0,7,3,-8,1,40,2,2,3,1,4,4,1,5,3,4,-8,-8,-8,-8,-8,4,2,5,3,7,3,3,4,2,71,24.444444444444443
145,4,2,27,1,1,1,1,4,-8,1,70,3,3,3,1,1,3,1,4,3,2,-8,-8,-8,-8,-8,5,2,5,3,1,3,3,5,3,32,20.761245674740486
146,5,2,8,2,4,0,1,4,0,1,30,4,5,5,1,5,4,3,3,4,3,-8,-8,-8,-8,80000,6,3,6,3,3,2,3,4,-8,21,20.202020202020204
147,4,2,6,1,1,1,1,3,20000,1,400,4,4,3,1,2,2,1,4,5,3,-8,-8,-8,-8,30000,5,3,5,3,3,2,1,4,2,67,27.343749999999996
148,4,2,13,1,6,0,2,4,15000,1,270,4,3,4,1,4,4,1,4,6,2,-8,-8,-8,-8,28000,5,2,5,3,3,2,2,4,2,55,22.230987127541326
149,4,1,27,1,1,1,1,10,3000,1,85,4,5,5,2,4,5,3,4,7,5,-8,-8,-8,-8,80000,6,3,6,3,1,2,3,2,2,19,23.356401384083046
150,2,2,6,1,1,1,1,1,1200,1,50,1,1,2,1,2,4,1,3,3,5,-8,-8,-8,-8,1200,4,2,5,3,1,3,3,3,3,46,23.661438615467823
151,3,1,13,2,1,1,1,6,24000,1,90,4,4,3,5,3,2,1,4,3,5,-8,-8,-8,-8,24000,6,3,5,3,7,2,1,3,2,49,18.88888888888889
152,4,1,19,1,1,1,1,4,30000,4,20,4,5,4,5,2,4,1,2,5,5,-8,-8,-8,-8,70000,5,3,5,3,3,3,2,4,3,61,23.356401384083046
153,4,2,10,2,1,1,1,11,0,4,230,5,5,4,1,2,4,2,4,2,1,4,1,2,3,-8,6,2,5,3,1,2,1,5,3,25,20.32443825510934
154,4,2,18,2,1,1,1,1,1000,1,200,4,4,4,1,1,1,1,3,5,3,-8,-8,-8,-8,5000,5,3,5,3,3,2,1,3,2,67,28.841531805800347
155,3,1,16,2,1,1,1,4,25000,1,150,3,4,4,1,3,1,1,4,5,3,-8,-8,-8,-8,30000,6,3,5,3,3,2,2,2,2,49,18.296115593920064
156,5,2,16,2,1,1,1,3,0,1,120,1,1,1,1,2,5,1,3,5,4,-8,-8,-8,-8,60000,10,3,5,2,3,3,1,3,-8,62,23.933402705515086
157,5,1,17,1,1,1,1,10,15000,4,117,4,5,5,4,1,4,2,4,5,5,-8,-8,-8,-8,20000,5,3,5,3,3,2,1,3,2,62,22.49134948096886
158,2,1,12,2,1,0,6,6,0,1,100,2,2,3,1,2,4,1,1,5,5,-8,-8,-8,-8,-8,5,2,5,3,3,3,1,3,-8,54,13.815183544581378
